"Name","Position","Birthdate","Birthplace","BirthMonth","BirthQuarter"
"Darcy Kuemper","G","5/5/1990","Saskatoon, SK","05",2
"Morgan Barron","C","12/2/1998","Halifax, NS","12",4
"Rasmus Kupari","C","3/15/2000","Kotka, Finland","03",1
"Vladislav Namestnikov","C","11/22/1992","Zhukovskiy, Russia","11",4
"Cole Perfetti","C","1/1/2002","Whitby, ON","01",1
"Mark Scheifele","C","3/15/1993","Kitchener, ON","03",1
"Kyle Connor","LW","12/9/1996","Shelby Township, MI","12",4
"Declan Chisholm","D","1/12/2000","Bowmanville, ON","01",1
"Dylan DeMelo","D","5/1/1993","London, ON","05",2
"Brenden Dillon","D","11/13/1990","New Westminster, BC","11",4
"Josh Morrissey","D","3/28/1995","Calgary, AB","03",1
"Logan Stanley","D","5/26/1998","Waterloo, ON","05",2
"Laurent Brossoit","G","3/23/1993","Port Alberni, BC","03",1
